budget,budget_by_millions,genre_id,id,original_language,original_title,popularity,release_date,month_of_release,revenue,revenue_by_millions,runtime,status,title,vote_average,vote_count
237000000,237,28,19995,en,Avatar,150.437577,10/12/2009,12,2787965087,2787.965087,162,Released,Avatar,7.2,11800
300000000,300,12,285,en,Pirates of the Caribbean: At World's End,139.082615,19/5/2007,5,961000000,961,169,Released,Pirates of the Caribbean: At World's End,6.9,4500
245000000,245,28,206647,en,Spectre,107.376788,26/10/2015,10,880674609,880.674609,148,Released,Spectre,6.3,4466
250000000,250,28,49026,en,The Dark Knight Rises,112.31295,16/7/2012,7,1084939099,1084.939099,165,Released,The Dark Knight Rises,7.6,9106
260000000,260,28,49529,en,John Carter,43.926995,7/3/2012,3,284139100,284.1391,132,Released,John Carter,6.1,2124
258000000,258,14,559,en,Spider-Man 3,115.699814,1/5/2007,5,890871626,890.871626,139,Released,Spider-Man 3,5.9,3576
260000000,260,16,38757,en,Tangled,48.681969,24/11/2010,11,591794936,591.794936,100,Released,Tangled,7.4,3330
280000000,280,28,99861,en,Avengers: Age of Ultron,134.279229,22/4/2015,4,1405403694,1405.403694,141,Released,Avengers: Age of Ultron,7.3,6767
250000000,250,12,767,en,Harry Potter and the Half-Blood Prince,98.885637,7/7/2009,7,933959197,933.959197,153,Released,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,250,28,209112,en,Batman v Superman: Dawn of Justice,155.790452,23/3/2016,3,873260194,873.260194,151,Released,Batman v Superman: Dawn of Justice,5.7,7004
270000000,270,12,1452,en,Superman Returns,57.925623,28/6/2006,6,391081192,391.081192,154,Released,Superman Returns,5.4,1400
200000000,200,12,10764,en,Quantum of Solace,107.928811,30/10/2008,10,586090727,586.090727,106,Released,Quantum of Solace,6.1,2965
200000000,200,12,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,20/6/2006,6,1065659812,1065.659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000,255,28,57201,en,The Lone Ranger,49.046956,3/7/2013,7,89289910,89.28991,149,Released,The Lone Ranger,5.9,2311
225000000,225,28,49521,en,Man of Steel,99.398009,12/6/2013,6,662845518,662.845518,143,Released,Man of Steel,6.5,6359
225000000,225,12,2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,15/5/2008,5,419651413,419.651413,150,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000,220,87,24428,en,The Avengers,144.448633,25/4/2012,4,1519557910,1519.55791,143,Released,The Avengers,7.4,11776
380000000,380,12,1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,14/5/2011,5,1045713802,1045.713802,136,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,225,28,41154,en,Men in Black 3,52.035179,23/5/2012,5,624026776,624.026776,106,Released,Men in Black 3,6.2,4160
250000000,250,28,122917,en,The Hobbit: The Battle of the Five Armies,120.965743,10/12/2014,12,956019788,956.019788,144,Released,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,215,28,1930,en,The Amazing Spider-Man,89.866276,27/6/2012,6,752215857,752.215857,136,Released,The Amazing Spider-Man,6.5,6586
200000000,200,28,20662,en,Robin Hood,37.668301,12/5/2010,5,310669540,310.66954,140,Released,Robin Hood,6.2,1398
250000000,250,12,57158,en,The Hobbit: The Desolation of Smaug,94.370564,11/12/2013,12,958400000,958.4,161,Released,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,180,12,2268,en,The Golden Compass,42.990906,4/12/2007,12,372234864,372.234864,113,Released,The Golden Compass,5.8,1303
207000000,207,12,254,en,King Kong,61.22601,14/12/2005,12,550000000,550,187,Released,King Kong,6.6,2337
200000000,200,18,597,en,Titanic,100.025899,18/11/1997,11,1845034188,1845.034188,194,Released,Titanic,7.5,7562
250000000,250,12,271110,en,Captain America: Civil War,198.372395,27/4/2016,4,1153304495,1153.304495,147,Released,Captain America: Civil War,7.1,7241
209000000,209,53,44833,en,Battleship,64.928382,11/4/2012,4,303025485,303.025485,131,Released,Battleship,5.5,2114
150000000,150,28,135397,en,Jurassic World,418.708552,9/6/2015,6,1513528810,1513.52881,124,Released,Jurassic World,6.5,8662
200000000,200,28,37724,en,Skyfall,93.004993,25/10/2012,10,1108561013,1108.561013,143,Released,Skyfall,6.9,7604
200000000,200,28,558,en,Spider-Man 2,35.149586,25/6/2004,6,783766341,783.766341,127,Released,Spider-Man 2,6.7,4321
200000000,200,28,68721,en,Iron Man 3,77.68208,18/4/2013,4,1215439994,1215.439994,130,Released,Iron Man 3,6.8,8806
200000000,200,10,12155,en,Alice in Wonderland,78.530105,3/3/2010,3,1025491110,1025.49111,108,Released,Alice in Wonderland,6.4,4645
210000000,210,12,36668,en,X-Men: The Last Stand,3.857526,24/5/2006,5,459359555,459.359555,104,Released,X-Men: The Last Stand,6.3,3525
200000000,200,16,62211,en,Monsters University,89.186492,20/6/2013,6,743559607,743.559607,104,Released,Monsters University,7,3528
150000000,150,87,8373,en,Transformers: Revenge of the Fallen,21.939663,19/6/2009,6,836297228,836.297228,150,Released,Transformers: Revenge of the Fallen,6,3138
