budget,budget_by_millions,genre_id,id,original_language,original_title,popularity,release_date,month_of_release,revenue,revenue_by_millions,runtime,status,title,vote_average,vote_count
237000000.00,237,28,19995,en,Avatar,150.437577,10/12/2009,12,2787965087,2787.965087,162,Released,Avatar,7.2,11800
300000000.00,300,12,285,en,Pirates of the Caribbean: At World's End,139.082615,19/5/2007,5,961000000,961,169,Released,Pirates of the Caribbean: At World's End,6.9,4500
245000000.00,245,28,206647,en,Spectre,107.376788,26/10/2015,10,880674609,880.674609,148,Released,Spectre,6.3,4466
250000000.00,250,28,49026,en,The Dark Knight Rises,112.31295,16/7/2012,7,1084939099,1084.939099,165,Released,The Dark Knight Rises,7.6,9106
260000000.00,260,28,49529,en,John Carter,43.926995,7/3/2012,3,284139100,284.1391,132,Released,John Carter,6.1,2124
258000000.00,258,14,559,en,Spider-Man 3,115.699814,1/5/2007,5,890871626,890.871626,139,Released,Spider-Man 3,5.9,3576
260000000.00,260,16,38757,en,Tangled,48.681969,24/11/2010,11,591794936,591.794936,100,Released,Tangled,7.4,3330
280000000.00,280,28,99861,en,Avengers: Age of Ultron,134.279229,22/4/2015,4,1405403694,1405.403694,141,Released,Avengers: Age of Ultron,7.3,6767
250000000.00,250,12,767,en,Harry Potter and the Half-Blood Prince,98.885637,7/7/2009,7,933959197,933.959197,153,Released,Harry Potter and the Half-Blood Prince,7.4,5293
250000000.00,250,28,209112,en,Batman v Superman: Dawn of Justice,155.790452,23/3/2016,3,873260194,873.260194,151,Released,Batman v Superman: Dawn of Justice,5.7,7004
270000000.00,270,12,1452,en,Superman Returns,57.925623,28/6/2006,6,391081192,391.081192,154,Released,Superman Returns,5.4,1400
200000000.00,200,12,10764,en,Quantum of Solace,107.928811,30/10/2008,10,586090727,586.090727,106,Released,Quantum of Solace,6.1,2965
200000000.00,200,12,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,20/6/2006,6,1065659812,1065.659812,151,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246
