platform_id,genre_id,age_rating_id,developer_id,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,global_sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
1,4,1,6900000001,Nintendo,41.36,28.96,3.77,8.45,82.53,76,51,8,322,Nintendo,E
2,5,0,0,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,,
1,2,1,6900000001,Nintendo,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,Nintendo,E
1,4,1,6900000001,Nintendo,15.61,10.93,3.28,2.95,32.77,80,73,8,192,Nintendo,E
3,6,0,0,Nintendo,11.27,8.89,10.22,1,31.37,,,,,,
3,7,0,0,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,,`,
4,5,1,6900000001,Nintendo,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,Nintendo,E
1,1,1,6900000001,Nintendo,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo,E
1,5,1,6900000001,Nintendo,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,Nintendo,E
2,8,0,0,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,
4,9,0,0,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,,,
4,2,1,6900000001,Nintendo,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,Nintendo,E
3,6,0,0,Nintendo,9,6.18,7.2,0.71,23.1,,,,,,
1,4,1,6900000001,Nintendo,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,Nintendo,E
5,1,1,6900000001,Microsoft Game Studios,15,4.89,0.24,1.69,21.81,61,45,6.3,106,Good Science Studio,E
1,4,1,6900000001,Nintendo,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,Nintendo,E
6,3,2,7700000001,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,M
7,3,2,7700000001,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M
8,5,0,0,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,
4,1,1,6900000001,Nintendo,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,Nintendo,E
4,6,0,0,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,
3,5,0,0,Nintendo,10.83,2.71,4.18,0.42,18.14,,,,,,
2,5,0,0,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,,
5,3,2,7700000001,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97,58,8.1,3711,Rockstar North,M
7,3,2,7700000001,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,Rockstar North,M
9,6,0,0,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,
4,7,1,6900000001,Nintendo,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,Nintendo,E
4,6,0,0,Nintendo,5.51,3.17,5.65,0.8,15.14,,,,,,
7,2,1,6900000001,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,Polyphony Digital,E
5,8,2,7700000001,Activision,9.04,4.24,0.13,1.32,14.73,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M
3,6,0,0,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,
10,8,0,0,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,
5,8,2,7700000001,Activision,9.7,3.68,0.11,1.13,14.61,87,89,6.3,1454,Treyarch,M
11,6,0,0,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,
6,8,2,7700000001,Activision,4.99,5.73,0.65,2.42,13.79,83,21,5.3,922,Treyarch,M
5,8,2,7700000001,Activision,8.25,4.24,0.07,1.12,13.67,83,73,4.8,2256,Treyarch,M
5,8,2,7700000001,Activision,8.52,3.59,0.08,1.28,13.47,94,100,6.3,2698,Infinity Ward,M
6,8,2,7700000001,Activision,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5234,"Infinity Ward, Sledgehammer Games",M
7,3,2,7700000001,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,DMA Design,M
1,10,3,8400000001,Nintendo,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,Game Arts,T
11,2,1,6900000001,Nintendo,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",E
